Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,20.409,7693140.000,-80.643
1200.000,19.941,6574710.000,-81.362
1250.000,19.746,6370590.000,-81.221
1500.000,18.816,5576570.000,-81.575
1600.000,18.955,5197350.000,-82.180
1660.000,19.035,4993450.000,-82.493
2000.000,19.390,4078500.000,-83.668
2400.000,19.300,3413900.000,-83.992
2500.000,19.287,3282680.000,-84.061
3000.000,19.128,2760590.000,-84.576
3200.000,19.099,2592700.000,-84.661
3330.000,19.082,2494230.000,-84.730
4000.000,19.005,2086460.000,-85.079
4800.000,18.764,1761870.000,-85.447
5000.000,18.718,1696010.000,-85.595
6000.000,18.578,1424580.000,-85.860
6400.000,18.521,1339770.000,-85.941
6660.000,18.488,1289900.000,-85.987
8000.000,18.339,1082730.000,-86.183
9600.000,18.302,904342.000,-86.478
10000.000,18.293,868735.000,-86.532
12000.000,18.104,731590.000,-86.704
12500.000,18.099,702538.000,-86.750
15000.000,18.070,586496.000,-86.934
16000.000,18.037,550841.000,-86.991
16600.000,18.018,531525.000,-87.021
20000.000,17.927,443451.000,-87.169
24000.000,17.836,371505.000,-87.284
25000.000,17.821,357060.000,-87.308
30000.000,17.761,298622.000,-87.452
32000.000,17.729,280491.000,-87.485
33300.000,17.709,269851.000,-87.505
40000.000,17.619,225801.000,-87.588
48000.000,17.546,188949.000,-87.674
50000.000,17.528,181564.000,-87.693
60000.000,17.463,151853.000,-87.773
64000.000,17.436,142572.000,-87.798
66600.000,17.419,137133.000,-87.814
80000.000,17.346,114640.000,-87.889
96000.000,17.283,95878.300,-87.953
100000.000,17.269,92117.200,-87.958
120000.000,17.213,77015.400,-87.983
125000.000,17.194,74014.100,-87.995
150000.000,17.116,61961.100,-88.065
160000.000,17.088,58184.600,-88.059
166000.000,17.073,56132.900,-88.055
200000.000,17.000,46791.500,-88.020
240000.000,16.961,39084.000,-88.170
250000.000,16.953,37539.300,-88.202
300000.000,16.906,31370.300,-88.237
320000.000,16.873,29467.400,-88.270
333000.000,16.853,28349.400,-88.288
400000.000,16.773,23717.100,-88.396
480000.000,16.782,19750.900,-88.303
500000.000,16.784,18958.300,-88.289
600000.000,16.752,15829.100,-88.302
640000.000,16.745,14845.900,-88.308
666000.000,16.741,14269.700,-88.310
800000.000,16.729,11888.300,-88.320
960000.000,16.743,9898.200,-88.310
1000000.000,16.764,9490.740,-88.336
#,#,#,#
