Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.474,88072.200,-0.522
1200.000,16.145,88014.000,-0.614
1250.000,16.005,88051.300,-0.634
1500.000,15.236,88045.500,-0.725
1600.000,15.444,88056.700,-0.782
1660.000,15.546,88130.600,-0.819
2000.000,16.053,88166.300,-1.019
2400.000,16.090,88079.800,-1.226
2500.000,16.104,88080.700,-1.277
3000.000,16.069,88048.200,-1.528
3200.000,16.076,88022.600,-1.630
3330.000,16.091,88001.700,-1.697
4000.000,16.115,87986.100,-2.042
4800.000,15.963,87968.200,-2.428
5000.000,15.941,87949.700,-2.524
6000.000,15.888,87916.600,-3.018
6400.000,15.862,87905.700,-3.214
6660.000,15.846,87892.900,-3.341
8000.000,15.776,87789.100,-3.991
9600.000,15.814,87638.500,-4.794
10000.000,15.818,87643.900,-4.996
12000.000,15.697,87435.500,-5.939
12500.000,15.706,87368.800,-6.186
15000.000,15.739,87121.700,-7.424
16000.000,15.726,86995.600,-7.904
16600.000,15.719,86957.900,-8.196
20000.000,15.685,86517.900,-9.818
24000.000,15.643,85869.400,-11.686
25000.000,15.634,85756.400,-12.157
30000.000,15.618,84936.200,-14.479
32000.000,15.603,84488.300,-15.369
33300.000,15.593,84203.100,-15.944
40000.000,15.547,82863.700,-18.890
48000.000,15.515,80985.000,-22.267
50000.000,15.507,80438.700,-23.072
60000.000,15.482,77781.400,-26.998
64000.000,15.468,76715.600,-28.501
66600.000,15.460,75957.800,-29.432
80000.000,15.423,72135.900,-34.001
96000.000,15.393,67572.900,-38.856
100000.000,15.387,66451.000,-39.975
120000.000,15.361,61026.100,-44.976
125000.000,15.350,59778.200,-46.108
150000.000,15.300,53949.800,-51.069
160000.000,15.281,51838.200,-52.780
166000.000,15.271,50621.000,-53.729
200000.000,15.225,44512.100,-58.378
240000.000,15.209,38758.000,-62.734
250000.000,15.206,37516.200,-63.648
300000.000,15.182,32253.200,-67.367
320000.000,15.157,30549.600,-68.587
333000.000,15.142,29527.500,-69.302
400000.000,15.083,25141.800,-72.363
480000.000,15.110,21186.900,-74.895
500000.000,15.116,20379.500,-75.411
600000.000,15.099,17154.000,-77.519
640000.000,15.097,16124.900,-78.192
666000.000,15.095,15518.900,-78.589
800000.000,15.093,12990.100,-80.211
960000.000,15.110,10853.300,-81.557
1000000.000,15.131,10413.000,-81.867
#,#,#,#
