Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,31.989,4611.550,-0.052
1200.000,28.907,4610.630,-0.058
1250.000,28.498,4611.470,-0.059
1500.000,26.306,4611.900,-0.066
1600.000,25.903,4611.760,-0.069
1660.000,25.406,4611.690,-0.072
2000.000,24.977,4610.280,-0.082
2400.000,23.713,4610.760,-0.094
2500.000,23.274,4611.050,-0.097
3000.000,22.396,4609.940,-0.112
3200.000,22.117,4612.670,-0.117
3330.000,22.047,4611.550,-0.122
4000.000,21.324,4612.470,-0.141
4800.000,20.617,4608.970,-0.164
5000.000,20.418,4611.690,-0.169
6000.000,19.919,4610.530,-0.198
6400.000,19.763,4609.780,-0.210
6660.000,19.644,4610.380,-0.217
8000.000,19.211,4609.570,-0.255
9600.000,18.977,4608.940,-0.302
10000.000,18.932,4609.850,-0.314
12000.000,18.588,4609.450,-0.370
12500.000,18.553,4609.230,-0.385
15000.000,18.388,4606.280,-0.457
16000.000,18.296,4605.520,-0.485
16600.000,18.256,4603.810,-0.502
20000.000,18.080,4604.600,-0.599
24000.000,17.881,4604.000,-0.711
25000.000,17.862,4603.500,-0.740
30000.000,17.719,4602.700,-0.881
32000.000,17.684,4600.360,-0.937
33300.000,17.652,4599.860,-0.973
40000.000,17.509,4603.440,-1.160
48000.000,17.392,4601.870,-1.383
50000.000,17.362,4603.620,-1.439
60000.000,17.262,4603.230,-1.716
64000.000,17.221,4599.920,-1.826
66600.000,17.201,4601.970,-1.898
80000.000,17.102,4596.690,-2.264
96000.000,17.013,4593.290,-2.702
100000.000,16.996,4593.220,-2.811
120000.000,16.919,4589.890,-3.356
125000.000,16.897,4584.830,-3.488
150000.000,16.800,4582.440,-4.161
160000.000,16.765,4579.040,-4.427
166000.000,16.745,4576.730,-4.585
200000.000,16.658,4565.390,-5.484
240000.000,16.607,4554.210,-6.548
250000.000,16.596,4550.100,-6.812
300000.000,16.540,4531.390,-8.121
320000.000,16.505,4522.110,-8.631
333000.000,16.484,4517.630,-8.963
400000.000,16.399,4490.370,-10.665
480000.000,16.407,4447.230,-12.712
500000.000,16.409,4438.280,-13.226
600000.000,16.374,4375.530,-15.670
640000.000,16.367,4347.370,-16.626
666000.000,16.365,4330.830,-17.251
800000.000,16.352,4228.990,-20.339
960000.000,16.362,4099.090,-23.864
1000000.000,16.383,4066.100,-24.743
#,#,#,#
