Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,19.382,8165480.000,-84.093
1200.000,19.016,6944130.000,-84.623
1250.000,18.846,6723060.000,-84.411
1500.000,18.005,5865510.000,-84.621
1600.000,18.176,5452930.000,-85.099
1660.000,18.264,5231220.000,-85.361
2000.000,18.705,4244880.000,-86.263
2400.000,18.694,3539070.000,-86.329
2500.000,18.690,3399840.000,-86.380
3000.000,18.595,2848470.000,-86.713
3200.000,18.586,2671890.000,-86.742
3330.000,18.583,2568220.000,-86.752
4000.000,18.561,2140990.000,-86.931
4800.000,18.373,1802720.000,-87.164
5000.000,18.336,1734380.000,-87.275
6000.000,18.240,1453030.000,-87.398
6400.000,18.199,1365310.000,-87.437
6660.000,18.174,1313830.000,-87.460
8000.000,18.066,1100330.000,-87.534
9600.000,18.067,917058.000,-87.713
10000.000,18.064,880464.000,-87.747
12000.000,17.909,740088.000,-87.829
12500.000,17.910,710456.000,-87.851
15000.000,17.911,592043.000,-87.947
16000.000,17.889,555743.000,-87.973
16600.000,17.875,536083.000,-87.988
20000.000,17.812,446562.000,-88.060
24000.000,17.743,373591.000,-88.109
25000.000,17.728,358947.000,-88.121
30000.000,17.687,299816.000,-88.204
32000.000,17.662,281489.000,-88.216
33300.000,17.646,270737.000,-88.226
40000.000,17.577,226281.000,-88.257
48000.000,17.523,189152.000,-88.298
50000.000,17.511,181712.000,-88.306
60000.000,17.465,151827.000,-88.346
64000.000,17.445,142502.000,-88.358
66600.000,17.432,137037.000,-88.366
80000.000,17.376,114451.000,-88.405
96000.000,17.328,95632.700,-88.435
100000.000,17.317,91868.300,-88.436
120000.000,17.274,76749.000,-88.434
125000.000,17.259,73741.500,-88.441
150000.000,17.194,61685.500,-88.487
160000.000,17.170,57912.000,-88.475
166000.000,17.157,55860.800,-88.467
200000.000,17.096,46532.300,-88.409
240000.000,17.068,38840.600,-88.541
250000.000,17.062,37299.500,-88.568
300000.000,17.026,31149.000,-88.587
320000.000,16.997,29254.200,-88.614
333000.000,16.980,28140.400,-88.630
400000.000,16.909,23526.400,-88.720
480000.000,16.928,19582.000,-88.617
500000.000,16.933,18793.000,-88.599
600000.000,16.909,15682.300,-88.600
640000.000,16.906,14705.300,-88.602
666000.000,16.904,14133.000,-88.601
800000.000,16.900,11768.300,-88.600
960000.000,16.923,9793.730,-88.580
1000000.000,16.945,9389.330,-88.602
#,#,#,#
