Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.873,10690500.000,-87.576
1200.000,14.617,9067740.000,-87.872
1250.000,14.471,8791100.000,-87.543
1500.000,13.731,7720170.000,-87.603
1600.000,13.934,7134310.000,-88.089
1660.000,14.046,6823610.000,-88.335
2000.000,14.577,5458960.000,-89.053
2400.000,14.639,4524170.000,-88.903
2500.000,14.662,4340920.000,-88.859
3000.000,14.643,3622660.000,-89.046
3200.000,14.660,3392040.000,-88.983
3330.000,14.671,3256620.000,-88.960
4000.000,14.722,2702780.000,-88.957
4800.000,14.599,2270720.000,-89.055
5000.000,14.574,2183770.000,-89.173
6000.000,14.540,1824150.000,-89.165
6400.000,14.519,1712600.000,-89.155
6660.000,14.507,1647120.000,-89.147
8000.000,14.454,1376190.000,-89.106
9600.000,14.504,1142850.000,-89.187
10000.000,14.516,1096340.000,-89.192
12000.000,14.407,920483.000,-89.176
12500.000,14.420,882906.000,-89.181
15000.000,14.465,733457.000,-89.184
16000.000,14.458,687974.000,-89.178
16600.000,14.453,663321.000,-89.178
20000.000,14.430,551426.000,-89.168
24000.000,14.399,460490.000,-89.142
25000.000,14.393,442283.000,-89.134
30000.000,14.387,368703.000,-89.155
32000.000,14.374,345980.000,-89.145
33300.000,14.366,332652.000,-89.139
40000.000,14.330,277635.000,-89.106
48000.000,14.307,231738.000,-89.088
50000.000,14.301,222550.000,-89.086
60000.000,14.284,185687.000,-89.072
64000.000,14.273,174209.000,-89.067
66600.000,14.267,167484.000,-89.064
80000.000,14.238,139715.000,-89.060
96000.000,14.216,116623.000,-89.046
100000.000,14.211,111985.000,-89.036
120000.000,14.190,93454.100,-88.986
125000.000,14.180,89782.800,-88.985
150000.000,14.135,75051.800,-88.998
160000.000,14.119,70443.000,-88.969
166000.000,14.110,67939.900,-88.951
200000.000,14.068,56555.200,-88.841
240000.000,14.059,47163.700,-88.967
250000.000,14.057,45282.700,-88.992
300000.000,14.038,37788.100,-88.984
320000.000,14.014,35487.300,-89.001
333000.000,14.000,34135.700,-89.013
400000.000,13.943,28536.000,-89.103
480000.000,13.973,23725.900,-88.946
500000.000,13.980,22765.600,-88.919
600000.000,13.965,18992.000,-88.896
640000.000,13.963,17807.400,-88.894
666000.000,13.962,17113.600,-88.887
800000.000,13.961,14247.900,-88.869
960000.000,13.980,11857.100,-88.829
1000000.000,14.001,11366.300,-88.853
#,#,#,#
