Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.193,8739420.000,-87.648
1200.000,17.918,7396130.000,-87.904
1250.000,17.772,7158760.000,-87.636
1500.000,17.021,6229370.000,-87.688
1600.000,17.214,5775130.000,-88.095
1660.000,17.324,5530850.000,-88.277
2000.000,17.841,4459350.000,-88.894
2400.000,17.908,3704100.000,-88.722
2500.000,17.912,3553110.000,-88.736
3000.000,17.881,2966240.000,-88.905
3200.000,17.894,2778660.000,-88.852
3330.000,17.905,2668920.000,-88.837
4000.000,17.940,2217400.000,-88.842
4800.000,17.806,1861560.000,-88.939
5000.000,17.782,1789890.000,-89.034
6000.000,17.737,1495390.000,-89.035
6400.000,17.713,1403850.000,-89.026
6660.000,17.698,1350140.000,-89.024
8000.000,17.635,1128000.000,-88.994
9600.000,17.678,937594.000,-89.063
10000.000,17.686,899829.000,-89.074
12000.000,17.570,754794.000,-89.066
12500.000,17.580,724217.000,-89.069
15000.000,17.617,602240.000,-89.076
16000.000,17.607,564927.000,-89.074
16600.000,17.600,544725.000,-89.073
20000.000,17.569,452914.000,-89.067
24000.000,17.530,378256.000,-89.044
25000.000,17.521,363296.000,-89.038
30000.000,17.508,302970.000,-89.054
32000.000,17.492,284295.000,-89.047
33300.000,17.482,273355.000,-89.041
40000.000,17.437,228157.000,-89.015
48000.000,17.406,190472.000,-88.999
50000.000,17.398,182932.000,-88.995
60000.000,17.373,152669.000,-88.983
64000.000,17.359,143237.000,-88.978
66600.000,17.351,137712.000,-88.975
80000.000,17.312,114900.000,-88.968
96000.000,17.280,95927.700,-88.957
100000.000,17.273,92126.700,-88.945
120000.000,17.245,76899.600,-88.903
125000.000,17.233,73875.100,-88.901
150000.000,17.180,61751.000,-88.909
160000.000,17.161,57957.600,-88.884
166000.000,17.150,55898.300,-88.869
200000.000,17.100,46528.400,-88.777
240000.000,17.082,38817.200,-88.875
250000.000,17.078,37273.200,-88.896
300000.000,17.050,31111.400,-88.883
320000.000,17.024,29212.200,-88.900
333000.000,17.008,28097.500,-88.909
400000.000,16.943,23479.800,-88.971
480000.000,16.968,19538.000,-88.839
500000.000,16.973,18750.400,-88.816
600000.000,16.953,15643.600,-88.791
640000.000,16.950,14668.500,-88.783
666000.000,16.948,14097.300,-88.777
800000.000,16.944,11738.900,-88.750
960000.000,16.964,9771.370,-88.707
1000000.000,16.985,9368.920,-88.725
#,#,#,#
