Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.912,9951110.000,-84.624
1200.000,15.596,8471940.000,-85.169
1250.000,15.436,8212070.000,-84.892
1500.000,14.640,7219890.000,-85.075
1600.000,14.822,6689470.000,-85.659
1660.000,14.923,6407780.000,-85.933
2000.000,15.402,5158120.000,-86.932
2400.000,15.421,4290100.000,-86.923
2500.000,15.433,4118450.000,-86.986
3000.000,15.374,3446780.000,-87.334
3200.000,15.377,3230450.000,-87.337
3330.000,15.380,3103560.000,-87.347
4000.000,15.391,2582330.000,-87.494
4800.000,15.235,2174420.000,-87.730
5000.000,15.206,2091620.000,-87.859
6000.000,15.142,1750630.000,-87.970
6400.000,15.111,1644590.000,-87.998
6660.000,15.093,1582340.000,-88.016
8000.000,15.013,1324230.000,-88.083
9600.000,15.041,1101450.000,-88.251
10000.000,15.048,1057150.000,-88.287
12000.000,14.919,888589.000,-88.358
12500.000,14.928,852585.000,-88.378
15000.000,14.955,709222.000,-88.462
16000.000,14.941,665485.000,-88.484
16600.000,14.933,641802.000,-88.497
20000.000,14.895,534066.000,-88.559
24000.000,14.852,446387.000,-88.593
25000.000,14.842,428798.000,-88.600
30000.000,14.825,357750.000,-88.677
32000.000,14.808,335777.000,-88.685
33300.000,14.798,322892.000,-88.689
40000.000,14.752,269649.000,-88.705
48000.000,14.720,225197.000,-88.731
50000.000,14.713,216294.000,-88.736
60000.000,14.688,180556.000,-88.761
64000.000,14.675,169420.000,-88.769
66600.000,14.667,162895.000,-88.773
80000.000,14.631,135939.000,-88.801
96000.000,14.603,113507.000,-88.815
100000.000,14.598,109006.000,-88.812
120000.000,14.572,90995.300,-88.790
125000.000,14.561,87423.200,-88.794
150000.000,14.513,73094.000,-88.829
160000.000,14.495,68609.900,-88.807
166000.000,14.486,66174.400,-88.793
200000.000,14.441,55093.100,-88.710
240000.000,14.428,45954.200,-88.845
250000.000,14.426,44123.000,-88.874
300000.000,14.403,36825.600,-88.880
320000.000,14.379,34583.200,-88.901
333000.000,14.364,33267.500,-88.916
400000.000,14.306,27811.200,-89.011
480000.000,14.334,23127.200,-88.872
500000.000,14.341,22191.800,-88.848
600000.000,14.324,18514.400,-88.834
640000.000,14.322,17359.700,-88.835
666000.000,14.321,16683.800,-88.831
800000.000,14.319,13890.600,-88.818
960000.000,14.337,11560.900,-88.785
1000000.000,14.358,11082.600,-88.809
#,#,#,#
