Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.342,9143920.000,-85.212
1200.000,17.035,7762100.000,-85.712
1250.000,16.881,7517580.000,-85.489
1500.000,16.095,6572530.000,-85.690
1600.000,16.283,6094620.000,-86.209
1660.000,16.391,5838110.000,-86.457
2000.000,16.880,4709160.000,-87.354
2400.000,16.905,3918840.000,-87.359
2500.000,16.919,3758720.000,-87.394
3000.000,16.869,3142660.000,-87.707
3200.000,16.874,2945240.000,-87.700
3330.000,16.878,2829470.000,-87.705
4000.000,16.895,2353390.000,-87.840
4800.000,16.744,1978940.000,-88.035
5000.000,16.716,1903240.000,-88.152
6000.000,16.654,1591940.000,-88.241
6400.000,16.625,1495150.000,-88.262
6660.000,16.607,1438320.000,-88.276
8000.000,16.532,1202840.000,-88.317
9600.000,16.564,1000500.000,-88.460
10000.000,16.569,960265.000,-88.488
12000.000,16.442,806411.000,-88.536
12500.000,16.450,773800.000,-88.552
15000.000,16.478,643762.000,-88.613
16000.000,16.465,604016.000,-88.627
16600.000,16.456,582484.000,-88.637
20000.000,16.418,484608.000,-88.676
24000.000,16.373,404967.000,-88.695
25000.000,16.363,389001.000,-88.697
30000.000,16.344,324531.000,-88.752
32000.000,16.326,304577.000,-88.754
33300.000,16.316,292887.000,-88.756
40000.000,16.267,244559.000,-88.758
48000.000,16.232,204237.000,-88.770
50000.000,16.224,196156.000,-88.772
60000.000,16.195,163753.000,-88.784
64000.000,16.181,153651.000,-88.789
66600.000,16.172,147740.000,-88.793
80000.000,16.133,123300.000,-88.811
96000.000,16.100,102952.000,-88.819
100000.000,16.094,98876.900,-88.814
120000.000,16.064,82548.600,-88.788
125000.000,16.052,79305.900,-88.789
150000.000,16.000,66304.900,-88.817
160000.000,15.981,62236.100,-88.796
166000.000,15.970,60026.400,-88.783
200000.000,15.921,49974.100,-88.699
240000.000,15.905,41689.500,-88.823
250000.000,15.902,40029.400,-88.849
300000.000,15.876,33412.400,-88.850
320000.000,15.851,31374.500,-88.868
333000.000,15.835,30179.200,-88.884
400000.000,15.773,25222.300,-88.963
480000.000,15.802,20980.700,-88.834
500000.000,15.808,20133.200,-88.811
600000.000,15.791,16795.300,-88.792
640000.000,15.790,15747.100,-88.788
666000.000,15.789,15133.400,-88.784
800000.000,15.789,12598.100,-88.758
960000.000,15.812,10483.500,-88.713
1000000.000,15.834,10050.400,-88.731
#,#,#,#
