Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.892,8892150.000,-88.167
1200.000,17.641,7516550.000,-88.411
1250.000,17.494,7274410.000,-88.144
1500.000,16.756,6330090.000,-88.181
1600.000,16.960,5863200.000,-88.572
1660.000,17.072,5615720.000,-88.740
2000.000,17.605,4520570.000,-89.325
2400.000,17.677,3749150.000,-89.154
2500.000,17.690,3598490.000,-89.130
3000.000,17.673,3001620.000,-89.262
3200.000,17.692,2811200.000,-89.203
3330.000,17.702,2699910.000,-89.179
4000.000,17.748,2241640.000,-89.166
4800.000,17.626,1880880.000,-89.227
5000.000,17.604,1808230.000,-89.325
6000.000,17.568,1509970.000,-89.304
6400.000,17.546,1417310.000,-89.293
6660.000,17.534,1362930.000,-89.282
8000.000,17.479,1138200.000,-89.234
9600.000,17.531,945709.000,-89.290
10000.000,17.538,907482.000,-89.292
12000.000,17.429,760979.000,-89.272
12500.000,17.440,730059.000,-89.271
15000.000,17.483,606884.000,-89.263
16000.000,17.475,569224.000,-89.255
16600.000,17.469,548820.000,-89.253
20000.000,17.444,456186.000,-89.235
24000.000,17.410,380891.000,-89.203
25000.000,17.402,365819.000,-89.196
30000.000,17.394,304985.000,-89.202
32000.000,17.379,286167.000,-89.191
33300.000,17.371,275139.000,-89.184
40000.000,17.330,229590.000,-89.147
48000.000,17.303,191624.000,-89.123
50000.000,17.296,184029.000,-89.119
60000.000,17.274,153553.000,-89.099
64000.000,17.262,144055.000,-89.091
66600.000,17.255,138492.000,-89.087
80000.000,17.220,115530.000,-89.074
96000.000,17.192,96434.200,-89.054
100000.000,17.185,92609.300,-89.045
120000.000,17.159,77286.900,-88.996
125000.000,17.148,74246.100,-88.993
150000.000,17.098,62050.800,-88.996
160000.000,17.080,58236.000,-88.969
166000.000,17.069,56165.300,-88.952
200000.000,17.022,46743.500,-88.855
240000.000,17.007,38991.200,-88.949
250000.000,17.003,37438.500,-88.970
300000.000,16.978,31245.800,-88.954
320000.000,16.952,29337.400,-88.969
333000.000,16.937,28217.100,-88.977
400000.000,16.875,23578.900,-89.036
480000.000,16.901,19616.700,-88.900
500000.000,16.907,18825.600,-88.876
600000.000,16.889,15704.700,-88.847
640000.000,16.886,14725.200,-88.838
666000.000,16.885,14151.500,-88.832
800000.000,16.882,11782.900,-88.802
960000.000,16.902,9807.410,-88.755
1000000.000,16.923,9403.320,-88.773
#,#,#,#
