Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.875,9999050.000,-86.822
1200.000,15.580,8489800.000,-87.082
1250.000,15.434,8228090.000,-86.774
1500.000,14.665,7218740.000,-86.771
1600.000,14.866,6683800.000,-87.242
1660.000,14.969,6397730.000,-87.446
2000.000,15.468,5141380.000,-88.180
2400.000,15.511,4270790.000,-88.033
2500.000,15.517,4100270.000,-88.002
3000.000,15.468,3428320.000,-88.187
3200.000,15.474,3212320.000,-88.127
3330.000,15.478,3085890.000,-88.111
4000.000,15.496,2566120.000,-88.118
4800.000,15.347,2159820.000,-88.214
5000.000,15.315,2077540.000,-88.339
6000.000,15.252,1738530.000,-88.343
6400.000,15.221,1633170.000,-88.339
6660.000,15.202,1571340.000,-88.336
8000.000,15.123,1315130.000,-88.311
9600.000,15.148,1094170.000,-88.405
10000.000,15.152,1050070.000,-88.427
12000.000,15.018,882825.000,-88.434
12500.000,15.025,847149.000,-88.444
15000.000,15.047,704983.000,-88.477
16000.000,15.031,661622.000,-88.483
16600.000,15.021,638115.000,-88.488
20000.000,14.975,531243.000,-88.507
24000.000,14.924,444230.000,-88.512
25000.000,14.913,426785.000,-88.513
30000.000,14.889,356250.000,-88.567
32000.000,14.869,334427.000,-88.567
33300.000,14.857,321632.000,-88.569
40000.000,14.803,268735.000,-88.570
48000.000,14.763,224538.000,-88.585
50000.000,14.755,215687.000,-88.589
60000.000,14.722,180138.000,-88.609
64000.000,14.706,169053.000,-88.616
66600.000,14.697,162559.000,-88.620
80000.000,14.655,135724.000,-88.647
96000.000,14.620,113368.000,-88.663
100000.000,14.614,108886.000,-88.663
120000.000,14.582,90931.300,-88.645
125000.000,14.570,87370.300,-88.650
150000.000,14.517,73076.100,-88.691
160000.000,14.497,68601.100,-88.672
166000.000,14.487,66170.200,-88.660
200000.000,14.437,55108.000,-88.585
240000.000,14.421,45977.600,-88.727
250000.000,14.418,44148.700,-88.757
300000.000,14.392,36855.500,-88.770
320000.000,14.367,34613.700,-88.796
333000.000,14.351,33298.100,-88.812
400000.000,14.290,27841.100,-88.914
480000.000,14.316,23156.300,-88.783
500000.000,14.322,22220.600,-88.761
600000.000,14.304,18540.900,-88.752
640000.000,14.301,17385.300,-88.753
666000.000,14.300,16709.100,-88.750
800000.000,14.296,13913.900,-88.740
960000.000,14.311,11582.300,-88.712
1000000.000,14.331,11103.500,-88.738
#,#,#,#
