Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,16.932,9394940.000,-88.155
1200.000,16.681,7946910.000,-88.397
1250.000,16.537,7696300.000,-88.111
1500.000,15.806,6712810.000,-88.160
1600.000,16.009,6212440.000,-88.564
1660.000,16.125,5947210.000,-88.763
2000.000,16.657,4778140.000,-89.369
2400.000,16.743,3962710.000,-89.211
2500.000,16.748,3801770.000,-89.156
3000.000,16.732,3171110.000,-89.301
3200.000,16.751,2969380.000,-89.244
3330.000,16.764,2851450.000,-89.209
4000.000,16.813,2366630.000,-89.201
4800.000,16.693,1986320.000,-89.275
5000.000,16.670,1909710.000,-89.369
6000.000,16.638,1594580.000,-89.348
6400.000,16.617,1496750.000,-89.332
6660.000,16.605,1439360.000,-89.324
8000.000,16.553,1201970.000,-89.277
9600.000,16.607,998500.000,-89.322
10000.000,16.617,957937.000,-89.333
12000.000,16.509,803491.000,-89.311
12500.000,16.521,770776.000,-89.310
15000.000,16.567,640540.000,-89.300
16000.000,16.559,600787.000,-89.292
16600.000,16.555,579243.000,-89.289
20000.000,16.531,481436.000,-89.269
24000.000,16.500,401959.000,-89.235
25000.000,16.493,386037.000,-89.226
30000.000,16.487,321815.000,-89.233
32000.000,16.474,301951.000,-89.220
33300.000,16.465,290310.000,-89.212
40000.000,16.427,242245.000,-89.172
48000.000,16.402,202176.000,-89.147
50000.000,16.396,194158.000,-89.141
60000.000,16.376,161998.000,-89.120
64000.000,16.365,151977.000,-89.111
66600.000,16.358,146105.000,-89.106
80000.000,16.325,121877.000,-89.092
96000.000,16.300,101726.000,-89.073
100000.000,16.294,97686.300,-89.060
120000.000,16.270,81526.100,-89.007
125000.000,16.259,78318.900,-89.004
150000.000,16.211,65458.300,-89.007
160000.000,16.193,61433.900,-88.978
166000.000,16.183,59249.200,-88.961
200000.000,16.138,49315.900,-88.862
240000.000,16.124,41131.500,-88.958
250000.000,16.122,39492.300,-88.980
300000.000,16.098,32958.700,-88.964
320000.000,16.073,30946.900,-88.977
333000.000,16.058,29766.200,-88.988
400000.000,15.998,24873.200,-89.055
480000.000,16.027,20690.500,-88.907
500000.000,16.033,19855.000,-88.882
600000.000,16.016,16563.000,-88.850
640000.000,16.015,15529.500,-88.840
666000.000,16.013,14924.300,-88.834
800000.000,16.012,12425.200,-88.797
960000.000,16.032,10343.000,-88.744
1000000.000,16.054,9916.450,-88.763
#,#,#,#
