Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.901,10618800.000,-84.644
1200.000,14.605,9039440.000,-85.249
1250.000,14.449,8766430.000,-84.988
1500.000,13.681,7721580.000,-85.239
1600.000,13.870,7145500.000,-85.843
1660.000,13.976,6836210.000,-86.134
2000.000,14.478,5484530.000,-87.173
2400.000,14.514,4553070.000,-87.208
2500.000,14.532,4371200.000,-87.228
3000.000,14.490,3654520.000,-87.594
3200.000,14.501,3423920.000,-87.614
3330.000,14.510,3289310.000,-87.630
4000.000,14.537,2732900.000,-87.771
4800.000,14.397,2300680.000,-87.988
5000.000,14.370,2212510.000,-88.131
6000.000,14.319,1850420.000,-88.227
6400.000,14.293,1738110.000,-88.257
6660.000,14.278,1672240.000,-88.277
8000.000,14.213,1398800.000,-88.327
9600.000,14.252,1162660.000,-88.485
10000.000,14.258,1115520.000,-88.516
12000.000,14.141,937406.000,-88.570
12500.000,14.150,899292.000,-88.586
15000.000,14.186,747554.000,-88.651
16000.000,14.175,701363.000,-88.669
16600.000,14.169,676340.000,-88.677
20000.000,14.139,562631.000,-88.718
24000.000,14.101,470175.000,-88.734
25000.000,14.093,451581.000,-88.738
30000.000,14.081,376620.000,-88.797
32000.000,14.066,353465.000,-88.799
33300.000,14.057,339888.000,-88.798
40000.000,14.015,283809.000,-88.796
48000.000,13.987,236988.000,-88.807
50000.000,13.980,227614.000,-88.808
60000.000,13.958,189974.000,-88.816
64000.000,13.946,178256.000,-88.817
66600.000,13.938,171389.000,-88.820
80000.000,13.905,143025.000,-88.837
96000.000,13.879,119418.000,-88.846
100000.000,13.873,114684.000,-88.836
120000.000,13.849,95740.800,-88.805
125000.000,13.838,91983.700,-88.806
150000.000,13.791,76916.000,-88.837
160000.000,13.774,72201.100,-88.812
166000.000,13.762,69639.200,-88.797
200000.000,13.713,57983.500,-88.707
240000.000,13.707,48366.000,-88.846
250000.000,13.707,46437.900,-88.876
300000.000,13.686,38756.300,-88.881
320000.000,13.662,36400.200,-88.904
333000.000,13.648,35015.400,-88.920
400000.000,13.590,29274.500,-89.020
480000.000,13.622,24339.600,-88.876
500000.000,13.629,23353.800,-88.852
600000.000,13.615,19481.400,-88.839
640000.000,13.613,18265.900,-88.840
666000.000,13.612,17553.900,-88.836
800000.000,13.614,14612.000,-88.827
960000.000,13.636,12156.400,-88.793
1000000.000,13.657,11651.900,-88.814
#,#,#,#
