Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,18.382,8580510.000,-82.242
1200.000,17.996,7317010.000,-82.925
1250.000,17.825,7088550.000,-82.742
1500.000,16.964,6209320.000,-83.058
1600.000,17.129,5772930.000,-83.666
1660.000,17.222,5537920.000,-83.975
2000.000,17.645,4494640.000,-85.103
2400.000,17.610,3750090.000,-85.331
2500.000,17.614,3603340.000,-85.374
3000.000,17.508,3022800.000,-85.824
3200.000,17.496,2836130.000,-85.876
3330.000,17.489,2726660.000,-85.908
4000.000,17.456,2274840.000,-86.175
4800.000,17.261,1917450.000,-86.463
5000.000,17.221,1845480.000,-86.604
6000.000,17.117,1547410.000,-86.797
6400.000,17.073,1454550.000,-86.848
6660.000,17.046,1399980.000,-86.879
8000.000,16.932,1173480.000,-87.012
9600.000,16.926,978405.000,-87.234
10000.000,16.923,939548.000,-87.282
12000.000,16.762,790603.000,-87.399
12500.000,16.762,758971.000,-87.432
15000.000,16.757,632717.000,-87.561
16000.000,16.732,594078.000,-87.600
16600.000,16.718,573104.000,-87.622
20000.000,16.649,477689.000,-87.725
24000.000,16.575,399849.000,-87.800
25000.000,16.559,384236.000,-87.817
30000.000,16.515,321076.000,-87.929
32000.000,16.488,301502.000,-87.950
33300.000,16.472,290016.000,-87.962
40000.000,16.399,242510.000,-88.015
48000.000,16.343,202793.000,-88.075
50000.000,16.330,194835.000,-88.089
60000.000,16.281,162851.000,-88.148
64000.000,16.261,152866.000,-88.168
66600.000,16.248,147013.000,-88.178
80000.000,16.190,122823.000,-88.238
96000.000,16.143,102665.000,-88.285
100000.000,16.132,98610.600,-88.288
120000.000,16.088,82395.500,-88.299
125000.000,16.073,79173.300,-88.308
150000.000,16.008,66246.800,-88.370
160000.000,15.985,62195.200,-88.360
166000.000,15.972,59994.300,-88.353
200000.000,15.910,49984.600,-88.307
240000.000,15.884,41725.800,-88.457
250000.000,15.879,40070.000,-88.489
300000.000,15.845,33466.500,-88.518
320000.000,15.816,31432.400,-88.546
333000.000,15.799,30238.000,-88.567
400000.000,15.730,25286.400,-88.670
480000.000,15.749,21044.500,-88.564
500000.000,15.754,20196.900,-88.546
600000.000,15.729,16857.200,-88.547
640000.000,15.725,15808.200,-88.550
666000.000,15.722,15193.900,-88.550
800000.000,15.714,12655.600,-88.546
960000.000,15.726,10538.000,-88.523
1000000.000,15.746,10104.100,-88.547
#,#,#,#
