Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.853,10028600.000,-87.192
1200.000,15.575,8510160.000,-87.447
1250.000,15.420,8246630.000,-87.148
1500.000,14.657,7228860.000,-87.152
1600.000,14.855,6690540.000,-87.602
1660.000,14.963,6403200.000,-87.831
2000.000,15.470,5142470.000,-88.527
2400.000,15.509,4272780.000,-88.368
2500.000,15.531,4098070.000,-88.328
3000.000,15.492,3424010.000,-88.501
3200.000,15.501,3207730.000,-88.443
3330.000,15.506,3080590.000,-88.421
4000.000,15.534,2560350.000,-88.418
4800.000,15.391,2153740.000,-88.523
5000.000,15.364,2071380.000,-88.629
6000.000,15.309,1732360.000,-88.627
6400.000,15.281,1627000.000,-88.619
6660.000,15.264,1565200.000,-88.614
8000.000,15.191,1309200.000,-88.587
9600.000,15.224,1088590.000,-88.667
10000.000,15.231,1044720.000,-88.686
12000.000,15.106,877828.000,-88.686
12500.000,15.114,842263.000,-88.692
15000.000,15.142,700580.000,-88.714
16000.000,15.129,657381.000,-88.716
16600.000,15.121,633964.000,-88.719
20000.000,15.082,527533.000,-88.728
24000.000,15.037,440936.000,-88.723
25000.000,15.027,423575.000,-88.721
30000.000,15.008,353427.000,-88.763
32000.000,14.990,331731.000,-88.761
33300.000,14.979,319010.000,-88.759
40000.000,14.931,266445.000,-88.749
48000.000,14.896,222557.000,-88.756
50000.000,14.888,213764.000,-88.757
60000.000,14.860,178476.000,-88.766
64000.000,14.846,167479.000,-88.769
66600.000,14.837,161032.000,-88.770
80000.000,14.799,134409.000,-88.787
96000.000,14.768,112251.000,-88.795
100000.000,14.762,107800.000,-88.790
120000.000,14.734,90006.500,-88.764
125000.000,14.721,86473.700,-88.766
150000.000,14.671,72310.500,-88.798
160000.000,14.652,67876.600,-88.776
166000.000,14.642,65468.400,-88.762
200000.000,14.595,54516.700,-88.678
240000.000,14.581,45474.700,-88.814
250000.000,14.578,43663.300,-88.843
300000.000,14.555,36445.500,-88.850
320000.000,14.529,34226.400,-88.872
333000.000,14.515,32923.900,-88.887
400000.000,14.456,27522.000,-88.983
480000.000,14.484,22888.700,-88.850
500000.000,14.491,21962.700,-88.827
600000.000,14.476,18321.500,-88.814
640000.000,14.474,17178.200,-88.814
666000.000,14.473,16508.800,-88.809
800000.000,14.474,13742.600,-88.793
960000.000,14.497,11435.100,-88.758
1000000.000,14.519,10961.200,-88.781
#,#,#,#
