Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,14.846,10708900.000,-87.224
1200.000,14.572,9095440.000,-87.486
1250.000,14.421,8818490.000,-87.154
1500.000,13.669,7753930.000,-87.163
1600.000,13.862,7169630.000,-87.656
1660.000,13.976,6858260.000,-87.879
2000.000,14.488,5492030.000,-88.620
2400.000,14.537,4556150.000,-88.429
2500.000,14.554,4373510.000,-88.412
3000.000,14.520,3653270.000,-88.590
3200.000,14.531,3422040.000,-88.528
3330.000,14.540,3286310.000,-88.497
4000.000,14.574,2729670.000,-88.500
4800.000,14.437,2297110.000,-88.595
5000.000,14.409,2209000.000,-88.712
6000.000,14.358,1847250.000,-88.704
6400.000,14.332,1734940.000,-88.696
6660.000,14.316,1668990.000,-88.691
8000.000,14.249,1396000.000,-88.649
9600.000,14.285,1160230.000,-88.742
10000.000,14.293,1113430.000,-88.754
12000.000,14.173,935735.000,-88.750
12500.000,14.181,897778.000,-88.757
15000.000,14.214,746444.000,-88.776
16000.000,14.201,700389.000,-88.776
16600.000,14.194,675407.000,-88.777
20000.000,14.160,561957.000,-88.784
24000.000,14.118,469668.000,-88.774
25000.000,14.109,451184.000,-88.773
30000.000,14.094,376390.000,-88.813
32000.000,14.078,353284.000,-88.809
33300.000,14.068,339738.000,-88.807
40000.000,14.022,283747.000,-88.793
48000.000,13.991,236984.000,-88.795
50000.000,13.984,227620.000,-88.796
60000.000,13.959,190019.000,-88.803
64000.000,13.946,178311.000,-88.805
66600.000,13.938,171447.000,-88.806
80000.000,13.903,143094.000,-88.821
96000.000,13.874,119483.000,-88.829
100000.000,13.870,114753.000,-88.821
120000.000,13.844,95803.700,-88.789
125000.000,13.833,92044.100,-88.793
150000.000,13.785,76970.700,-88.824
160000.000,13.767,72252.600,-88.800
166000.000,13.757,69690.000,-88.785
200000.000,13.713,58027.500,-88.692
240000.000,13.700,48403.100,-88.836
250000.000,13.698,46474.100,-88.866
300000.000,13.678,38788.000,-88.873
320000.000,13.653,36429.400,-88.896
333000.000,13.639,35044.100,-88.912
400000.000,13.581,29298.600,-89.018
480000.000,13.611,24360.100,-88.869
500000.000,13.618,23373.900,-88.845
600000.000,13.603,19498.500,-88.833
640000.000,13.602,18282.200,-88.834
666000.000,13.601,17569.600,-88.829
800000.000,13.601,14626.000,-88.818
960000.000,13.622,12169.500,-88.786
1000000.000,13.643,11664.600,-88.813
#,#,#,#
