Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.411,10318000.000,-86.769
1200.000,15.133,8755630.000,-87.142
1250.000,14.981,8485330.000,-86.849
1500.000,14.229,7447360.000,-86.959
1600.000,14.428,6887760.000,-87.448
1660.000,14.537,6589630.000,-87.697
2000.000,15.053,5283940.000,-88.503
2400.000,15.122,4386150.000,-88.353
2500.000,15.128,4206380.000,-88.380
3000.000,15.100,3512140.000,-88.620
3200.000,15.115,3289530.000,-88.579
3330.000,15.125,3158760.000,-88.564
4000.000,15.167,2622790.000,-88.607
4800.000,15.035,2204970.000,-88.749
5000.000,15.010,2120140.000,-88.860
6000.000,14.969,1771710.000,-88.888
6400.000,14.946,1663520.000,-88.887
6660.000,14.932,1600090.000,-88.887
8000.000,14.873,1337310.000,-88.877
9600.000,14.920,1110920.000,-88.969
10000.000,14.930,1065860.000,-88.990
12000.000,14.817,894950.000,-89.000
12500.000,14.829,858487.000,-89.006
15000.000,14.870,713415.000,-89.029
16000.000,14.862,669216.000,-89.032
16600.000,14.856,645277.000,-89.032
20000.000,14.831,536511.000,-89.039
24000.000,14.797,448103.000,-89.028
25000.000,14.790,430394.000,-89.024
30000.000,14.782,358850.000,-89.057
32000.000,14.768,336743.000,-89.050
33300.000,14.759,323785.000,-89.046
40000.000,14.721,270259.000,-89.024
48000.000,14.695,225604.000,-89.015
50000.000,14.689,216664.000,-89.014
60000.000,14.670,180796.000,-89.009
64000.000,14.659,169624.000,-89.006
66600.000,14.652,163081.000,-89.005
80000.000,14.621,136053.000,-89.007
96000.000,14.596,113565.000,-88.996
100000.000,14.592,109059.000,-88.989
120000.000,14.569,91019.300,-88.946
125000.000,14.559,87443.100,-88.946
150000.000,14.513,73097.600,-88.963
160000.000,14.496,68608.600,-88.935
166000.000,14.487,66170.900,-88.918
200000.000,14.444,55081.100,-88.816
240000.000,14.433,45936.000,-88.937
250000.000,14.431,44103.900,-88.962
300000.000,14.410,36805.800,-88.957
320000.000,14.386,34564.100,-88.976
333000.000,14.372,33248.300,-88.987
400000.000,14.313,27790.600,-89.077
480000.000,14.343,23110.900,-88.926
500000.000,14.350,22176.200,-88.901
600000.000,14.334,18500.400,-88.880
640000.000,14.332,17346.500,-88.878
666000.000,14.331,16671.100,-88.873
800000.000,14.330,13879.900,-88.852
960000.000,14.347,11552.100,-88.815
1000000.000,14.368,11074.200,-88.839
#,#,#,#
