Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.502,86475.100,-0.545
1200.000,17.140,86481.600,-0.642
1250.000,17.006,86498.000,-0.662
1500.000,16.228,86465.500,-0.759
1600.000,16.431,86475.600,-0.818
1660.000,16.535,86463.400,-0.856
2000.000,17.038,86447.100,-1.061
2400.000,17.055,86431.800,-1.275
2500.000,17.080,86412.900,-1.329
3000.000,17.035,86393.300,-1.589
3200.000,17.036,86399.900,-1.696
3330.000,17.047,86393.300,-1.766
4000.000,17.070,86356.100,-2.122
4800.000,16.916,86174.100,-2.519
5000.000,16.888,86158.600,-2.619
6000.000,16.830,86046.500,-3.128
6400.000,16.803,86037.600,-3.332
6660.000,16.787,86066.600,-3.465
8000.000,16.712,85948.600,-4.139
9600.000,16.746,85836.700,-4.972
10000.000,16.750,85823.100,-5.181
12000.000,16.625,85651.100,-6.162
12500.000,16.633,85580.100,-6.418
15000.000,16.662,85312.200,-7.698
16000.000,16.649,85211.300,-8.199
16600.000,16.643,85124.200,-8.495
20000.000,16.603,84701.700,-10.178
24000.000,16.558,84040.800,-12.111
25000.000,16.548,83905.700,-12.597
30000.000,16.531,82931.700,-14.973
32000.000,16.513,82542.700,-15.904
33300.000,16.503,82275.200,-16.501
40000.000,16.453,80772.400,-19.509
48000.000,16.419,78788.400,-22.959
50000.000,16.411,78260.300,-23.791
60000.000,16.382,75510.700,-27.790
64000.000,16.367,74391.900,-29.308
66600.000,16.358,73662.900,-30.273
80000.000,16.317,69776.600,-34.902
96000.000,16.284,65185.000,-39.800
100000.000,16.278,64054.800,-40.919
120000.000,16.248,58690.100,-45.958
125000.000,16.236,57438.200,-47.072
150000.000,16.182,51696.700,-52.023
160000.000,16.162,49614.900,-53.700
166000.000,16.151,48419.500,-54.635
200000.000,16.100,42456.900,-59.191
240000.000,16.081,36896.100,-63.457
250000.000,16.078,35700.800,-64.352
300000.000,16.050,30649.300,-67.981
320000.000,16.024,29013.700,-69.158
333000.000,16.008,28033.900,-69.860
400000.000,15.944,23845.100,-72.841
480000.000,15.970,20083.100,-75.293
500000.000,15.976,19316.000,-75.785
600000.000,15.957,16251.100,-77.839
640000.000,15.955,15273.300,-78.490
666000.000,15.954,14697.300,-78.878
800000.000,15.954,12296.900,-80.460
960000.000,15.977,10269.400,-81.776
1000000.000,16.000,9851.680,-82.074
#,#,#,#
