Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,15.601,10188600.000,-86.907
1200.000,15.311,8650660.000,-87.172
1250.000,15.162,8386730.000,-86.874
1500.000,14.393,7362350.000,-86.879
1600.000,14.585,6812800.000,-87.349
1660.000,14.692,6519890.000,-87.582
2000.000,15.194,5235560.000,-88.313
2400.000,15.247,4347980.000,-88.117
2500.000,15.247,4173030.000,-88.133
3000.000,15.203,3488350.000,-88.321
3200.000,15.211,3268130.000,-88.269
3330.000,15.217,3139020.000,-88.252
4000.000,15.241,2609860.000,-88.269
4800.000,15.095,2195720.000,-88.389
5000.000,15.066,2112000.000,-88.497
6000.000,15.008,1766770.000,-88.509
6400.000,14.979,1659560.000,-88.509
6660.000,14.962,1596620.000,-88.507
8000.000,14.888,1335750.000,-88.488
9600.000,14.919,1110860.000,-88.591
10000.000,14.926,1065990.000,-88.613
12000.000,14.800,895892.000,-88.627
12500.000,14.808,859579.000,-88.636
15000.000,14.837,714954.000,-88.671
16000.000,14.823,670868.000,-88.677
16600.000,14.815,646960.000,-88.684
20000.000,14.778,538371.000,-88.705
24000.000,14.733,449994.000,-88.709
25000.000,14.724,432282.000,-88.709
30000.000,14.706,360668.000,-88.761
32000.000,14.689,338521.000,-88.761
33300.000,14.679,325540.000,-88.761
40000.000,14.631,271886.000,-88.758
48000.000,14.599,227081.000,-88.770
50000.000,14.591,218109.000,-88.772
60000.000,14.565,182085.000,-88.787
64000.000,14.552,170857.000,-88.791
66600.000,14.544,164282.000,-88.794
80000.000,14.508,137108.000,-88.814
96000.000,14.479,114492.000,-88.825
100000.000,14.473,109950.000,-88.820
120000.000,14.447,91789.900,-88.794
125000.000,14.435,88196.600,-88.797
150000.000,14.387,73742.600,-88.830
160000.000,14.369,69216.600,-88.808
166000.000,14.359,66757.200,-88.794
200000.000,14.314,55581.200,-88.706
240000.000,14.302,46361.100,-88.846
250000.000,14.299,44514.100,-88.875
300000.000,14.277,37151.300,-88.882
320000.000,14.253,34889.500,-88.904
333000.000,14.239,33561.900,-88.919
400000.000,14.181,28056.400,-89.021
480000.000,14.211,23328.600,-88.879
500000.000,14.218,22384.400,-88.855
600000.000,14.203,18672.300,-88.843
640000.000,14.202,17506.600,-88.843
666000.000,14.201,16824.200,-88.840
800000.000,14.203,14004.500,-88.828
960000.000,14.226,11651.800,-88.800
1000000.000,14.248,11168.400,-88.826
#,#,#,#
