Frequency (Hz),Capacitance (F),Impedance (O),Phase Angle (D)
1000.000,17.523,9079630.000,-88.249
1200.000,17.268,7675940.000,-88.471
1250.000,17.125,7431100.000,-88.208
1500.000,16.392,6469510.000,-88.259
1600.000,16.601,5990870.000,-88.652
1660.000,16.714,5735760.000,-88.846
2000.000,17.250,4612840.000,-89.418
2400.000,17.337,3826920.000,-89.209
2500.000,17.342,3670750.000,-89.222
3000.000,17.330,3061300.000,-89.360
3200.000,17.349,2867040.000,-89.302
3330.000,17.362,2753020.000,-89.278
4000.000,17.411,2285180.000,-89.256
4800.000,17.292,1917470.000,-89.329
5000.000,17.272,1843000.000,-89.423
6000.000,17.240,1538720.000,-89.399
6400.000,17.220,1444160.000,-89.387
6660.000,17.209,1388800.000,-89.376
8000.000,17.159,1159500.000,-89.332
9600.000,17.213,963255.000,-89.382
10000.000,17.222,924183.000,-89.382
12000.000,17.116,774915.000,-89.358
12500.000,17.128,743388.000,-89.357
15000.000,17.174,617825.000,-89.345
16000.000,17.167,579452.000,-89.337
16600.000,17.163,558648.000,-89.332
20000.000,17.141,464282.000,-89.311
24000.000,17.110,387596.000,-89.276
25000.000,17.103,372237.000,-89.267
30000.000,17.098,310291.000,-89.271
32000.000,17.084,291130.000,-89.257
33300.000,17.076,279904.000,-89.250
40000.000,17.038,233535.000,-89.210
48000.000,17.013,194896.000,-89.182
50000.000,17.007,187165.000,-89.176
60000.000,16.987,156152.000,-89.152
64000.000,16.977,146487.000,-89.143
66600.000,16.969,140827.000,-89.138
80000.000,16.936,117465.000,-89.122
96000.000,16.910,98035.500,-89.097
100000.000,16.905,94143.200,-89.088
120000.000,16.880,78567.000,-89.034
125000.000,16.869,75474.300,-89.031
150000.000,16.822,63074.300,-89.031
160000.000,16.803,59194.500,-89.003
166000.000,16.793,57089.700,-88.986
200000.000,16.748,47510.500,-88.884
240000.000,16.733,39627.700,-88.978
250000.000,16.731,38049.400,-88.997
300000.000,16.706,31754.200,-88.979
320000.000,16.681,29815.300,-88.992
333000.000,16.666,28676.600,-89.001
400000.000,16.604,23962.700,-89.061
480000.000,16.632,19934.100,-88.919
500000.000,16.638,19129.900,-88.894
600000.000,16.621,15958.400,-88.864
640000.000,16.619,14962.800,-88.854
666000.000,16.617,14379.600,-88.847
800000.000,16.615,11972.600,-88.815
960000.000,16.635,9964.800,-88.767
1000000.000,16.657,9554.080,-88.785
#,#,#,#
