Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.871,10649400.000,-84.925
-1.900,14.871,10653500.000,-84.901
-1.800,14.873,10649500.000,-84.891
-1.700,14.875,10648900.000,-84.895
-1.600,14.875,10649800.000,-84.888
-1.500,14.877,10648500.000,-84.896
-1.400,14.875,10647900.000,-84.892
-1.300,14.878,10646700.000,-84.908
-1.200,14.876,10649100.000,-84.914
-1.100,14.878,10650500.000,-84.901
-1.000,14.877,10651500.000,-84.894
-0.900,14.877,10651700.000,-84.887
-0.800,14.875,10650400.000,-84.906
-0.700,14.874,10650200.000,-84.885
-0.600,14.874,10647800.000,-84.902
-0.500,14.878,10653400.000,-84.901
-0.400,14.878,10652200.000,-84.903
-0.300,14.881,10649000.000,-84.897
-0.200,14.880,10648200.000,-84.911
-0.100,14.876,10643300.000,-84.905
0.000,14.881,10648800.000,-84.903
0.100,14.880,10650300.000,-84.905
0.200,14.881,10647800.000,-84.914
0.300,14.876,10650700.000,-84.915
0.400,14.877,10649300.000,-84.885
0.500,14.880,10645700.000,-84.889
0.600,14.880,10643500.000,-84.896
0.700,14.875,10646000.000,-84.902
0.800,14.877,10647700.000,-84.881
0.900,14.881,10646100.000,-84.870
1.000,14.879,10645900.000,-84.856
1.100,14.883,10642100.000,-84.864
1.200,14.888,10643000.000,-84.858
1.300,14.880,10642500.000,-84.843
1.400,14.886,10646600.000,-84.853
1.500,14.881,10643600.000,-84.850
1.600,14.881,10643800.000,-84.832
1.700,14.882,10644600.000,-84.855
1.800,14.882,10643800.000,-84.842
1.900,14.881,10641800.000,-84.844
2.000,14.886,10644100.000,-84.835
2.100,14.884,10644300.000,-84.832
2.200,14.883,10645800.000,-84.824
2.300,14.879,10643900.000,-84.822
2.400,14.880,10640400.000,-84.823
2.500,14.883,10640900.000,-84.820
2.600,14.888,10639600.000,-84.822
2.700,14.885,10638500.000,-84.817
2.800,14.888,10639800.000,-84.844
2.900,14.882,10640200.000,-84.813
3.000,14.881,10638700.000,-84.810
#,#,#,#
