Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.597,10186800.000,-86.921
-1.900,15.598,10188100.000,-86.919
-1.800,15.596,10192300.000,-86.911
-1.700,15.598,10189200.000,-86.906
-1.600,15.597,10185800.000,-86.909
-1.500,15.601,10188200.000,-86.915
-1.400,15.598,10187800.000,-86.933
-1.300,15.601,10189300.000,-86.929
-1.200,15.599,10190400.000,-86.920
-1.100,15.598,10186700.000,-86.907
-1.000,15.600,10187200.000,-86.922
-0.900,15.601,10185700.000,-86.922
-0.800,15.601,10186200.000,-86.929
-0.700,15.598,10187700.000,-86.913
-0.600,15.597,10188200.000,-86.910
-0.500,15.598,10188100.000,-86.923
-0.400,15.596,10186300.000,-86.929
-0.300,15.605,10187000.000,-86.912
-0.200,15.600,10187200.000,-86.899
-0.100,15.597,10189700.000,-86.920
0.000,15.596,10190000.000,-86.906
0.100,15.596,10186700.000,-86.905
0.200,15.599,10185300.000,-86.893
0.300,15.600,10188000.000,-86.905
0.400,15.600,10184600.000,-86.917
0.500,15.597,10187800.000,-86.915
0.600,15.599,10186700.000,-86.915
0.700,15.597,10189600.000,-86.909
0.800,15.599,10189100.000,-86.912
0.900,15.600,10187600.000,-86.907
1.000,15.597,10188500.000,-86.925
1.100,15.596,10189300.000,-86.910
1.200,15.601,10185800.000,-86.923
1.300,15.603,10186000.000,-86.923
1.400,15.604,10186600.000,-86.898
1.500,15.601,10188400.000,-86.902
1.600,15.601,10187100.000,-86.918
1.700,15.605,10185800.000,-86.919
1.800,15.598,10185900.000,-86.919
1.900,15.597,10188400.000,-86.912
2.000,15.604,10185500.000,-86.907
2.100,15.601,10185900.000,-86.900
2.200,15.601,10187100.000,-86.906
2.300,15.601,10188300.000,-86.906
2.400,15.600,10188400.000,-86.916
2.500,15.597,10189100.000,-86.914
2.600,15.596,10188800.000,-86.902
2.700,15.597,10188100.000,-86.912
2.800,15.600,10186500.000,-86.905
2.900,15.601,10188600.000,-86.930
3.000,15.599,10188000.000,-86.920
#,#,#,#
