Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.941,9390920.000,-88.154
-1.900,16.942,9390110.000,-88.149
-1.800,16.945,9390390.000,-88.159
-1.700,16.945,9390890.000,-88.148
-1.600,16.946,9389410.000,-88.142
-1.500,16.944,9389800.000,-88.152
-1.400,16.942,9389940.000,-88.149
-1.300,16.944,9390520.000,-88.151
-1.200,16.944,9390780.000,-88.164
-1.100,16.946,9392390.000,-88.147
-1.000,16.944,9389540.000,-88.140
-0.900,16.944,9389470.000,-88.144
-0.800,16.945,9390490.000,-88.147
-0.700,16.945,9391560.000,-88.139
-0.600,16.942,9391850.000,-88.160
-0.500,16.947,9391240.000,-88.145
-0.400,16.942,9390190.000,-88.140
-0.300,16.946,9389980.000,-88.141
-0.200,16.945,9392470.000,-88.140
-0.100,16.943,9391290.000,-88.143
0.000,16.945,9390490.000,-88.159
0.100,16.942,9392230.000,-88.147
0.200,16.943,9391320.000,-88.143
0.300,16.940,9392550.000,-88.142
0.400,16.939,9389450.000,-88.149
0.500,16.943,9388570.000,-88.164
0.600,16.941,9391700.000,-88.144
0.700,16.941,9393230.000,-88.139
0.800,16.937,9391890.000,-88.157
0.900,16.941,9390630.000,-88.139
1.000,16.940,9388950.000,-88.162
1.100,16.938,9390880.000,-88.164
1.200,16.942,9391060.000,-88.145
1.300,16.941,9390480.000,-88.149
1.400,16.941,9391310.000,-88.150
1.500,16.940,9390580.000,-88.135
1.600,16.939,9394200.000,-88.151
1.700,16.942,9393420.000,-88.147
1.800,16.946,9393460.000,-88.134
1.900,16.941,9393510.000,-88.155
2.000,16.941,9393280.000,-88.146
2.100,16.943,9392990.000,-88.141
2.200,16.941,9392630.000,-88.140
2.300,16.942,9394890.000,-88.158
2.400,16.940,9393760.000,-88.156
2.500,16.941,9394720.000,-88.161
2.600,16.944,9394630.000,-88.138
2.700,16.942,9393200.000,-88.150
2.800,16.943,9392470.000,-88.145
2.900,16.943,9393970.000,-88.146
3.000,16.944,9391030.000,-88.162
#,#,#,#
