Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.483,86169.800,-0.542
-1.900,17.489,86194.900,-0.542
-1.800,17.456,86196.900,-0.542
-1.700,17.442,86209.500,-0.543
-1.600,17.424,86215.000,-0.542
-1.500,17.436,86182.700,-0.541
-1.400,17.440,86183.500,-0.543
-1.300,17.450,86176.100,-0.544
-1.200,17.451,86099.000,-0.544
-1.100,17.485,86146.400,-0.542
-1.000,17.397,86140.600,-0.542
-0.900,17.447,86172.300,-0.545
-0.800,17.490,86209.400,-0.543
-0.700,17.469,86234.300,-0.542
-0.600,17.397,86274.000,-0.542
-0.500,17.494,86215.900,-0.542
-0.400,17.505,86803.200,-0.544
-0.300,17.482,86253.000,-0.541
-0.200,17.469,86296.900,-0.542
-0.100,17.457,86275.800,-0.542
0.000,17.503,86283.200,-0.541
0.100,17.464,86186.900,-0.541
0.200,17.496,86265.100,-0.543
0.300,17.512,86261.800,-0.543
0.400,17.510,86241.500,-0.545
0.500,17.479,86227.900,-0.544
0.600,17.482,86274.800,-0.544
0.700,17.489,86265.100,-0.543
0.800,17.444,86181.800,-0.541
0.900,17.481,86228.700,-0.541
1.000,17.494,86252.200,-0.542
1.100,17.480,86243.500,-0.541
1.200,17.438,86249.100,-0.542
1.300,17.517,86204.500,-0.544
1.400,17.517,86215.300,-0.542
1.500,17.468,86186.700,-0.542
1.600,17.465,86141.200,-0.542
1.700,17.465,86149.800,-0.543
1.800,17.488,86208.500,-0.543
1.900,17.477,86141.500,-0.543
2.000,17.478,86200.800,-0.542
2.100,17.478,86232.600,-0.544
2.200,17.488,86225.900,-0.543
2.300,17.496,86209.500,-0.542
2.400,17.453,86195.700,-0.543
2.500,17.537,86132.200,-0.542
2.600,17.505,86163.300,-0.542
2.700,17.465,86190.500,-0.542
2.800,17.477,86146.000,-0.543
2.900,17.448,86119.100,-0.543
3.000,17.420,86182.200,-0.542
#,#,#,#
