Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,18.378,8585180.000,-82.228
-1.900,18.379,8582240.000,-82.234
-1.800,18.378,8584570.000,-82.226
-1.700,18.377,8583980.000,-82.233
-1.600,18.377,8585380.000,-82.240
-1.500,18.377,8585230.000,-82.215
-1.400,18.377,8583740.000,-82.240
-1.300,18.376,8583850.000,-82.222
-1.200,18.375,8583470.000,-82.236
-1.100,18.375,8582080.000,-82.205
-1.000,18.374,8583220.000,-82.257
-0.900,18.373,8584850.000,-82.259
-0.800,18.372,8586010.000,-82.271
-0.700,18.372,8586410.000,-82.251
-0.600,18.375,8584520.000,-82.243
-0.500,18.376,8582060.000,-82.234
-0.400,18.374,8584290.000,-82.242
-0.300,18.374,8584810.000,-82.250
-0.200,18.379,8583570.000,-82.274
-0.100,18.375,8586080.000,-82.263
0.000,18.376,8585160.000,-82.268
0.100,18.376,8585520.000,-82.285
0.200,18.375,8585090.000,-82.266
0.300,18.375,8583220.000,-82.273
0.400,18.378,8582950.000,-82.241
0.500,18.377,8585450.000,-82.257
0.600,18.378,8582600.000,-82.227
0.700,18.375,8584750.000,-82.252
0.800,18.376,8584830.000,-82.259
0.900,18.378,8584660.000,-82.248
1.000,18.373,8584020.000,-82.260
1.100,18.374,8582690.000,-82.219
1.200,18.377,8585030.000,-82.252
1.300,18.375,8584340.000,-82.254
1.400,18.379,8582750.000,-82.231
1.500,18.375,8582310.000,-82.230
1.600,18.380,8581400.000,-82.234
1.700,18.379,8580980.000,-82.243
1.800,18.380,8582640.000,-82.263
1.900,18.374,8581980.000,-82.240
2.000,18.379,8580310.000,-82.247
2.100,18.377,8581850.000,-82.245
2.200,18.377,8579830.000,-82.236
2.300,18.378,8579060.000,-82.240
2.400,18.375,8581800.000,-82.247
2.500,18.377,8580190.000,-82.243
2.600,18.374,8578300.000,-82.250
2.700,18.375,8579460.000,-82.241
2.800,18.379,8580500.000,-82.259
2.900,18.375,8581020.000,-82.257
3.000,18.373,8581540.000,-82.273
#,#,#,#
