Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.349,9145280.000,-85.227
-1.900,17.348,9147160.000,-85.222
-1.800,17.345,9147320.000,-85.233
-1.700,17.348,9144760.000,-85.235
-1.600,17.352,9142530.000,-85.231
-1.500,17.346,9144470.000,-85.246
-1.400,17.342,9146480.000,-85.243
-1.300,17.346,9147240.000,-85.256
-1.200,17.346,9146300.000,-85.258
-1.100,17.347,9145880.000,-85.248
-1.000,17.343,9146600.000,-85.240
-0.900,17.347,9146750.000,-85.254
-0.800,17.346,9144800.000,-85.248
-0.700,17.347,9145410.000,-85.240
-0.600,17.346,9146410.000,-85.237
-0.500,17.348,9144100.000,-85.207
-0.400,17.346,9142220.000,-85.216
-0.300,17.348,9142450.000,-85.224
-0.200,17.346,9142800.000,-85.227
-0.100,17.347,9144640.000,-85.236
0.000,17.350,9143610.000,-85.220
0.100,17.348,9144600.000,-85.209
0.200,17.350,9145400.000,-85.224
0.300,17.349,9146220.000,-85.220
0.400,17.349,9144150.000,-85.235
0.500,17.348,9144540.000,-85.231
0.600,17.345,9147210.000,-85.235
0.700,17.346,9146430.000,-85.236
0.800,17.344,9145900.000,-85.233
0.900,17.346,9144020.000,-85.227
1.000,17.348,9142800.000,-85.232
1.100,17.348,9144720.000,-85.235
1.200,17.344,9144520.000,-85.233
1.300,17.347,9144410.000,-85.248
1.400,17.349,9147400.000,-85.216
1.500,17.342,9142230.000,-85.225
1.600,17.344,9144250.000,-85.224
1.700,17.345,9144210.000,-85.229
1.800,17.347,9145170.000,-85.233
1.900,17.348,9146640.000,-85.227
2.000,17.349,9145080.000,-85.223
2.100,17.351,9146110.000,-85.222
2.200,17.348,9144990.000,-85.214
2.300,17.350,9144050.000,-85.226
2.400,17.346,9144520.000,-85.234
2.500,17.352,9145310.000,-85.218
2.600,17.346,9143610.000,-85.228
2.700,17.346,9145280.000,-85.214
2.800,17.348,9147390.000,-85.229
2.900,17.349,9143520.000,-85.232
3.000,17.346,9144960.000,-85.230
#,#,#,#
