Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.853,10027300.000,-87.198
-1.900,15.853,10026300.000,-87.196
-1.800,15.854,10028100.000,-87.188
-1.700,15.852,10027500.000,-87.206
-1.600,15.852,10027200.000,-87.202
-1.500,15.852,10027000.000,-87.187
-1.400,15.855,10026000.000,-87.198
-1.300,15.853,10026600.000,-87.192
-1.200,15.855,10027800.000,-87.186
-1.100,15.853,10028300.000,-87.195
-1.000,15.851,10029700.000,-87.185
-0.900,15.855,10027800.000,-87.183
-0.800,15.851,10028000.000,-87.187
-0.700,15.848,10027600.000,-87.185
-0.600,15.850,10025600.000,-87.194
-0.500,15.851,10027800.000,-87.204
-0.400,15.851,10030200.000,-87.195
-0.300,15.849,10029900.000,-87.196
-0.200,15.850,10028900.000,-87.204
-0.100,15.855,10028200.000,-87.200
0.000,15.852,10027400.000,-87.211
0.100,15.855,10029300.000,-87.214
0.200,15.855,10030000.000,-87.208
0.300,15.855,10025900.000,-87.209
0.400,15.851,10027800.000,-87.184
0.500,15.854,10025600.000,-87.202
0.600,15.853,10028600.000,-87.202
0.700,15.854,10027300.000,-87.199
0.800,15.855,10028500.000,-87.201
0.900,15.854,10030500.000,-87.178
1.000,15.853,10027500.000,-87.193
1.100,15.854,10027500.000,-87.199
1.200,15.853,10027500.000,-87.195
1.300,15.855,10028600.000,-87.202
1.400,15.852,10028200.000,-87.209
1.500,15.852,10029000.000,-87.197
1.600,15.854,10027000.000,-87.191
1.700,15.854,10027300.000,-87.196
1.800,15.848,10028000.000,-87.187
1.900,15.854,10026000.000,-87.192
2.000,15.850,10027000.000,-87.203
2.100,15.853,10027900.000,-87.191
2.200,15.849,10024100.000,-87.199
2.300,15.850,10024900.000,-87.196
2.400,15.853,10026500.000,-87.182
2.500,15.853,10024100.000,-87.189
2.600,15.854,10027100.000,-87.188
2.700,15.850,10026900.000,-87.207
2.800,15.851,10025500.000,-87.187
2.900,15.855,10027400.000,-87.184
3.000,15.855,10024300.000,-87.193
#,#,#,#
