Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,19.387,8166750.000,-84.136
-1.900,19.389,8166530.000,-84.137
-1.800,19.386,8167610.000,-84.153
-1.700,19.385,8166900.000,-84.130
-1.600,19.386,8169170.000,-84.129
-1.500,19.392,8167940.000,-84.131
-1.400,19.389,8167420.000,-84.114
-1.300,19.388,8166970.000,-84.145
-1.200,19.385,8166430.000,-84.095
-1.100,19.388,8167360.000,-84.111
-1.000,19.387,8168180.000,-84.114
-0.900,19.384,8169460.000,-84.110
-0.800,19.386,8168230.000,-84.114
-0.700,19.384,8168940.000,-84.095
-0.600,19.389,8167540.000,-84.135
-0.500,19.388,8168550.000,-84.154
-0.400,19.388,8166530.000,-84.112
-0.300,19.384,8167340.000,-84.107
-0.200,19.385,8166370.000,-84.142
-0.100,19.388,8165430.000,-84.141
0.000,19.392,8165530.000,-84.106
0.100,19.393,8166270.000,-84.133
0.200,19.396,8165960.000,-84.114
0.300,19.400,8166560.000,-84.129
0.400,19.395,8167560.000,-84.127
0.500,19.398,8165330.000,-84.100
0.600,19.398,8166150.000,-84.149
0.700,19.394,8164680.000,-84.125
0.800,19.392,8164220.000,-84.027
0.900,19.392,8166260.000,-84.096
1.000,19.392,8166490.000,-84.114
1.100,19.387,8165590.000,-84.134
1.200,19.388,8165210.000,-84.149
1.300,19.387,8166260.000,-84.130
1.400,19.386,8169690.000,-84.165
1.500,19.382,8165500.000,-84.142
1.600,19.386,8166930.000,-84.126
1.700,19.386,8165750.000,-84.089
1.800,19.384,8165400.000,-84.138
1.900,19.385,8164450.000,-84.147
2.000,19.382,8166050.000,-84.116
2.100,19.384,8166110.000,-84.127
2.200,19.379,8165280.000,-84.102
2.300,19.383,8169140.000,-84.137
2.400,19.383,8167090.000,-84.136
2.500,19.385,8164530.000,-84.108
2.600,19.382,8165000.000,-84.098
2.700,19.385,8165340.000,-84.095
2.800,19.385,8166660.000,-84.146
2.900,19.383,8167380.000,-84.131
3.000,19.387,8166760.000,-84.079
#,#,#,#
