Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.412,10314000.000,-86.744
-1.900,15.409,10313500.000,-86.746
-1.800,15.410,10310800.000,-86.733
-1.700,15.410,10310900.000,-86.743
-1.600,15.408,10314200.000,-86.752
-1.500,15.409,10318200.000,-86.750
-1.400,15.411,10312600.000,-86.724
-1.300,15.410,10314500.000,-86.734
-1.200,15.409,10314900.000,-86.740
-1.100,15.406,10311600.000,-86.751
-1.000,15.409,10312900.000,-86.747
-0.900,15.410,10316100.000,-86.745
-0.800,15.409,10318300.000,-86.762
-0.700,15.403,10318300.000,-86.762
-0.600,15.401,10313500.000,-86.733
-0.500,15.402,10312300.000,-86.745
-0.400,15.406,10314500.000,-86.749
-0.300,15.400,10312600.000,-86.740
-0.200,15.402,10314000.000,-86.743
-0.100,15.404,10315700.000,-86.741
0.000,15.397,10314600.000,-86.736
0.100,15.398,10311400.000,-86.746
0.200,15.401,10311800.000,-86.750
0.300,15.403,10314400.000,-86.743
0.400,15.409,10316600.000,-86.769
0.500,15.402,10317000.000,-86.746
0.600,15.405,10313400.000,-86.734
0.700,15.401,10315700.000,-86.740
0.800,15.403,10315300.000,-86.734
0.900,15.404,10314100.000,-86.752
1.000,15.403,10314200.000,-86.754
1.100,15.406,10311800.000,-86.736
1.200,15.401,10315300.000,-86.738
1.300,15.406,10316100.000,-86.746
1.400,15.401,10312400.000,-86.739
1.500,15.402,10313200.000,-86.745
1.600,15.405,10317000.000,-86.749
1.700,15.406,10315300.000,-86.748
1.800,15.406,10316200.000,-86.757
1.900,15.406,10316300.000,-86.740
2.000,15.409,10312400.000,-86.750
2.100,15.408,10314200.000,-86.752
2.200,15.405,10313700.000,-86.759
2.300,15.405,10313800.000,-86.759
2.400,15.405,10315000.000,-86.736
2.500,15.405,10315200.000,-86.733
2.600,15.405,10311600.000,-86.739
2.700,15.408,10310400.000,-86.737
2.800,15.405,10312900.000,-86.734
2.900,15.411,10314700.000,-86.753
3.000,15.403,10315300.000,-86.727
#,#,#,#
