Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,18.188,8742280.000,-87.668
-1.900,18.190,8743780.000,-87.664
-1.800,18.188,8745180.000,-87.681
-1.700,18.189,8744390.000,-87.675
-1.600,18.190,8741980.000,-87.672
-1.500,18.189,8743060.000,-87.671
-1.400,18.193,8744000.000,-87.674
-1.300,18.192,8742140.000,-87.678
-1.200,18.190,8742020.000,-87.675
-1.100,18.191,8745430.000,-87.659
-1.000,18.194,8742970.000,-87.660
-0.900,18.189,8744030.000,-87.666
-0.800,18.188,8743890.000,-87.668
-0.700,18.190,8745960.000,-87.664
-0.600,18.190,8741720.000,-87.665
-0.500,18.194,8742750.000,-87.660
-0.400,18.192,8742780.000,-87.654
-0.300,18.191,8740890.000,-87.653
-0.200,18.190,8742840.000,-87.655
-0.100,18.190,8741970.000,-87.674
0.000,18.193,8742960.000,-87.662
0.100,18.188,8743280.000,-87.654
0.200,18.192,8742800.000,-87.652
0.300,18.187,8743910.000,-87.669
0.400,18.189,8742020.000,-87.673
0.500,18.186,8741970.000,-87.665
0.600,18.191,8742710.000,-87.667
0.700,18.184,8742060.000,-87.655
0.800,18.187,8744140.000,-87.665
0.900,18.191,8743670.000,-87.653
1.000,18.185,8743670.000,-87.665
1.100,18.184,8740810.000,-87.667
1.200,18.185,8741670.000,-87.668
1.300,18.188,8744620.000,-87.659
1.400,18.191,8742610.000,-87.656
1.500,18.189,8742910.000,-87.658
1.600,18.194,8741830.000,-87.655
1.700,18.192,8741740.000,-87.658
1.800,18.188,8742290.000,-87.657
1.900,18.188,8743580.000,-87.670
2.000,18.191,8744370.000,-87.658
2.100,18.186,8741520.000,-87.662
2.200,18.190,8741790.000,-87.651
2.300,18.192,8740850.000,-87.643
2.400,18.183,8738730.000,-87.660
2.500,18.186,8739950.000,-87.656
2.600,18.188,8743120.000,-87.642
2.700,18.189,8739890.000,-87.638
2.800,18.189,8741300.000,-87.648
2.900,18.189,8739840.000,-87.651
3.000,18.186,8739690.000,-87.656
#,#,#,#
