Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.914,9961000.000,-84.635
-1.900,15.920,9957630.000,-84.651
-1.800,15.918,9957390.000,-84.630
-1.700,15.916,9956490.000,-84.632
-1.600,15.916,9958400.000,-84.651
-1.500,15.912,9958110.000,-84.645
-1.400,15.916,9957240.000,-84.646
-1.300,15.914,9961510.000,-84.663
-1.200,15.911,9960030.000,-84.662
-1.100,15.918,9959160.000,-84.668
-1.000,15.914,9957410.000,-84.663
-0.900,15.914,9956410.000,-84.657
-0.800,15.914,9958460.000,-84.656
-0.700,15.918,9958320.000,-84.659
-0.600,15.919,9957340.000,-84.639
-0.500,15.916,9958590.000,-84.656
-0.400,15.918,9956380.000,-84.660
-0.300,15.916,9956830.000,-84.666
-0.200,15.918,9955780.000,-84.654
-0.100,15.909,9958390.000,-84.662
0.000,15.913,9956300.000,-84.647
0.100,15.920,9954350.000,-84.647
0.200,15.920,9954310.000,-84.651
0.300,15.917,9959650.000,-84.646
0.400,15.917,9960310.000,-84.655
0.500,15.916,9957950.000,-84.660
0.600,15.917,9958300.000,-84.656
0.700,15.914,9959000.000,-84.652
0.800,15.917,9959980.000,-84.627
0.900,15.921,9959300.000,-84.658
1.000,15.916,9961100.000,-84.658
1.100,15.916,9959940.000,-84.641
1.200,15.918,9957570.000,-84.648
1.300,15.920,9957850.000,-84.647
1.400,15.920,9956040.000,-84.659
1.500,15.916,9957950.000,-84.656
1.600,15.911,9957760.000,-84.663
1.700,15.912,9956640.000,-84.659
1.800,15.914,9960140.000,-84.667
1.900,15.915,9956660.000,-84.651
2.000,15.915,9953660.000,-84.658
2.100,15.919,9955790.000,-84.661
2.200,15.916,9953910.000,-84.668
2.300,15.921,9957440.000,-84.659
2.400,15.911,9959500.000,-84.632
2.500,15.915,9956870.000,-84.640
2.600,15.916,9958230.000,-84.638
2.700,15.916,9958220.000,-84.643
2.800,15.916,9956100.000,-84.639
2.900,15.912,9954730.000,-84.660
3.000,15.914,9956360.000,-84.641
#,#,#,#
