Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,15.853,10012200.000,-86.825
-1.900,15.855,10012300.000,-86.815
-1.800,15.854,10012500.000,-86.820
-1.700,15.854,10009800.000,-86.820
-1.600,15.849,10008700.000,-86.813
-1.500,15.853,10008200.000,-86.828
-1.400,15.852,10009500.000,-86.818
-1.300,15.850,10009400.000,-86.821
-1.200,15.851,10009900.000,-86.822
-1.100,15.857,10011000.000,-86.802
-1.000,15.851,10010200.000,-86.812
-0.900,15.854,10007600.000,-86.817
-0.800,15.852,10010300.000,-86.822
-0.700,15.853,10009900.000,-86.826
-0.600,15.852,10011900.000,-86.814
-0.500,15.851,10010900.000,-86.801
-0.400,15.854,10008400.000,-86.817
-0.300,15.854,10011600.000,-86.807
-0.200,15.851,10010300.000,-86.811
-0.100,15.849,10011600.000,-86.816
0.000,15.853,10011800.000,-86.802
0.100,15.854,10011200.000,-86.807
0.200,15.853,10011400.000,-86.809
0.300,15.855,10013400.000,-86.808
0.400,15.853,10011500.000,-86.820
0.500,15.851,10013200.000,-86.833
0.600,15.853,10012200.000,-86.823
0.700,15.850,10011100.000,-86.817
0.800,15.854,10014200.000,-86.821
0.900,15.853,10010400.000,-86.810
1.000,15.853,10010400.000,-86.829
1.100,15.852,10012200.000,-86.825
1.200,15.852,10011900.000,-86.826
1.300,15.852,10011100.000,-86.817
1.400,15.855,10011700.000,-86.803
1.500,15.854,10012000.000,-86.818
1.600,15.852,10010700.000,-86.831
1.700,15.853,10010200.000,-86.823
1.800,15.856,10009300.000,-86.820
1.900,15.855,10013300.000,-86.816
2.000,15.857,10011700.000,-86.807
2.100,15.852,10011800.000,-86.803
2.200,15.855,10009200.000,-86.814
2.300,15.856,10010900.000,-86.805
2.400,15.851,10010600.000,-86.827
2.500,15.854,10011800.000,-86.814
2.600,15.856,10011000.000,-86.826
2.700,15.848,10011600.000,-86.822
2.800,15.851,10012200.000,-86.804
2.900,15.850,10010600.000,-86.818
3.000,15.853,10015500.000,-86.823
#,#,#,#
