Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.851,10704200.000,-87.226
-1.900,14.848,10703400.000,-87.228
-1.800,14.847,10707400.000,-87.227
-1.700,14.848,10707400.000,-87.207
-1.600,14.850,10708100.000,-87.228
-1.500,14.849,10707500.000,-87.221
-1.400,14.844,10705700.000,-87.222
-1.300,14.847,10708600.000,-87.199
-1.200,14.846,10707000.000,-87.214
-1.100,14.852,10706700.000,-87.230
-1.000,14.850,10710000.000,-87.214
-0.900,14.851,10711400.000,-87.218
-0.800,14.846,10707100.000,-87.230
-0.700,14.848,10706700.000,-87.221
-0.600,14.847,10707300.000,-87.233
-0.500,14.855,10708400.000,-87.232
-0.400,14.849,10707400.000,-87.229
-0.300,14.852,10708000.000,-87.226
-0.200,14.849,10707200.000,-87.236
-0.100,14.846,10708700.000,-87.208
0.000,14.853,10706100.000,-87.236
0.100,14.847,10707100.000,-87.249
0.200,14.849,10708500.000,-87.227
0.300,14.850,10710200.000,-87.237
0.400,14.849,10710700.000,-87.219
0.500,14.848,10707700.000,-87.230
0.600,14.848,10706000.000,-87.229
0.700,14.844,10706500.000,-87.240
0.800,14.847,10707700.000,-87.217
0.900,14.850,10709400.000,-87.236
1.000,14.846,10709600.000,-87.227
1.100,14.847,10708000.000,-87.226
1.200,14.847,10708200.000,-87.230
1.300,14.843,10708600.000,-87.212
1.400,14.851,10707800.000,-87.233
1.500,14.847,10707500.000,-87.235
1.600,14.850,10710200.000,-87.222
1.700,14.846,10708600.000,-87.224
1.800,14.848,10708300.000,-87.227
1.900,14.847,10706000.000,-87.226
2.000,14.845,10709400.000,-87.228
2.100,14.847,10711900.000,-87.221
2.200,14.851,10707900.000,-87.226
2.300,14.844,10707500.000,-87.220
2.400,14.844,10708600.000,-87.229
2.500,14.854,10704700.000,-87.231
2.600,14.849,10706300.000,-87.233
2.700,14.851,10707800.000,-87.235
2.800,14.845,10706600.000,-87.231
2.900,14.848,10708500.000,-87.226
3.000,14.847,10708100.000,-87.217
#,#,#,#
