Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.527,9077630.000,-88.233
-1.900,17.529,9077340.000,-88.236
-1.800,17.527,9075820.000,-88.238
-1.700,17.528,9078400.000,-88.248
-1.600,17.525,9078290.000,-88.245
-1.500,17.527,9078010.000,-88.240
-1.400,17.528,9077430.000,-88.246
-1.300,17.527,9078660.000,-88.235
-1.200,17.529,9077160.000,-88.240
-1.100,17.526,9078930.000,-88.244
-1.000,17.524,9079380.000,-88.246
-0.900,17.524,9078660.000,-88.235
-0.800,17.526,9077180.000,-88.252
-0.700,17.527,9077700.000,-88.240
-0.600,17.532,9074910.000,-88.247
-0.500,17.523,9077720.000,-88.241
-0.400,17.526,9077950.000,-88.248
-0.300,17.523,9079380.000,-88.254
-0.200,17.525,9077040.000,-88.248
-0.100,17.526,9078040.000,-88.238
0.000,17.527,9075560.000,-88.246
0.100,17.524,9075620.000,-88.249
0.200,17.526,9077230.000,-88.236
0.300,17.525,9076280.000,-88.236
0.400,17.526,9079630.000,-88.239
0.500,17.526,9076920.000,-88.233
0.600,17.525,9077920.000,-88.230
0.700,17.527,9077440.000,-88.240
0.800,17.526,9076330.000,-88.240
0.900,17.524,9078470.000,-88.253
1.000,17.525,9078800.000,-88.220
1.100,17.528,9079570.000,-88.227
1.200,17.525,9079150.000,-88.231
1.300,17.524,9080270.000,-88.245
1.400,17.528,9077890.000,-88.248
1.500,17.524,9079330.000,-88.243
1.600,17.525,9078550.000,-88.245
1.700,17.523,9078140.000,-88.243
1.800,17.525,9079020.000,-88.244
1.900,17.527,9075980.000,-88.235
2.000,17.525,9077580.000,-88.265
2.100,17.525,9078390.000,-88.250
2.200,17.527,9077170.000,-88.249
2.300,17.524,9078180.000,-88.255
2.400,17.527,9078970.000,-88.248
2.500,17.527,9075630.000,-88.249
2.600,17.528,9077190.000,-88.243
2.700,17.525,9076870.000,-88.250
2.800,17.526,9079610.000,-88.254
2.900,17.521,9078480.000,-88.251
3.000,17.526,9077210.000,-88.241
#,#,#,#
