Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.880,10687500.000,-87.568
-1.900,14.879,10689700.000,-87.564
-1.800,14.877,10688600.000,-87.584
-1.700,14.879,10691700.000,-87.566
-1.600,14.874,10691500.000,-87.548
-1.500,14.878,10691700.000,-87.566
-1.400,14.873,10687800.000,-87.579
-1.300,14.877,10690700.000,-87.573
-1.200,14.878,10690800.000,-87.566
-1.100,14.875,10691300.000,-87.569
-1.000,14.878,10694900.000,-87.547
-0.900,14.871,10694200.000,-87.576
-0.800,14.870,10691500.000,-87.546
-0.700,14.875,10690200.000,-87.569
-0.600,14.874,10689600.000,-87.575
-0.500,14.878,10693000.000,-87.573
-0.400,14.875,10691800.000,-87.572
-0.300,14.873,10690600.000,-87.574
-0.200,14.874,10692700.000,-87.561
-0.100,14.877,10688600.000,-87.579
0.000,14.872,10691700.000,-87.577
0.100,14.873,10693700.000,-87.573
0.200,14.876,10690600.000,-87.570
0.300,14.876,10690200.000,-87.562
0.400,14.873,10690500.000,-87.563
0.500,14.875,10689600.000,-87.562
0.600,14.877,10688100.000,-87.552
0.700,14.880,10688600.000,-87.586
0.800,14.873,10688500.000,-87.585
0.900,14.872,10691000.000,-87.553
1.000,14.875,10701100.000,-87.553
1.100,14.877,10712700.000,-87.563
1.200,14.875,10725000.000,-87.553
1.300,14.873,10729800.000,-87.560
1.400,14.874,10704900.000,-87.560
1.500,14.868,10693700.000,-87.560
1.600,14.873,10690800.000,-87.559
1.700,14.873,10708300.000,-87.559
1.800,14.875,10728400.000,-87.540
1.900,14.877,10692200.000,-87.596
2.000,14.871,10697000.000,-87.562
2.100,14.873,10695000.000,-87.568
2.200,14.873,10692300.000,-87.568
2.300,14.875,10693500.000,-87.575
2.400,14.877,10686700.000,-87.566
2.500,14.876,10690600.000,-87.579
2.600,14.877,10689600.000,-87.570
2.700,14.873,10691500.000,-87.590
2.800,14.873,10693800.000,-87.574
2.900,14.875,10692900.000,-87.561
3.000,14.877,10689600.000,-87.565
#,#,#,#
