Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,16.419,88021.500,-0.522
-1.900,16.488,88010.200,-0.521
-1.800,16.511,88019.400,-0.521
-1.700,16.441,88064.500,-0.521
-1.600,16.431,88042.600,-0.521
-1.500,16.483,88024.100,-0.522
-1.400,16.496,88057.000,-0.522
-1.300,16.410,88047.000,-0.521
-1.200,16.420,88070.200,-0.522
-1.100,16.415,88099.700,-0.521
-1.000,16.412,88111.300,-0.521
-0.900,16.409,88062.200,-0.521
-0.800,16.434,88123.700,-0.522
-0.700,16.467,88096.800,-0.522
-0.600,16.524,88101.300,-0.522
-0.500,16.423,88054.800,-0.521
-0.400,16.448,88052.600,-0.522
-0.300,16.470,88054.100,-0.522
-0.200,16.428,88060.500,-0.520
-0.100,16.444,88048.000,-0.521
0.000,16.485,88095.700,-0.522
0.100,16.456,88057.000,-0.521
0.200,16.432,88064.800,-0.520
0.300,16.453,88052.400,-0.521
0.400,16.446,88057.100,-0.521
0.500,16.450,88039.800,-0.521
0.600,16.416,88038.100,-0.521
0.700,16.446,88032.000,-0.521
0.800,16.504,88127.600,-0.523
0.900,16.455,88111.900,-0.522
1.000,16.438,88131.600,-0.522
1.100,16.456,88049.000,-0.523
1.200,16.492,88076.500,-0.523
1.300,16.428,88110.400,-0.523
1.400,16.441,88053.000,-0.521
1.500,16.448,88065.600,-0.522
1.600,16.436,88053.600,-0.522
1.700,16.417,88055.300,-0.521
1.800,16.426,88077.000,-0.522
1.900,16.437,88114.000,-0.521
2.000,16.411,88040.800,-0.520
2.100,16.407,88060.600,-0.521
2.200,16.475,88077.000,-0.522
2.300,16.479,88076.500,-0.522
2.400,16.438,88072.300,-0.523
2.500,16.476,88062.100,-0.522
2.600,16.490,88084.800,-0.522
2.700,16.453,88080.300,-0.521
2.800,16.442,88058.200,-0.521
2.900,16.416,88055.600,-0.521
3.000,16.464,88074.100,-0.521
#,#,#,#
