Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,14.136,229387.000,-1.430
-1.900,-13.344,228274.000,-1.423
-1.800,-50.481,229279.000,-1.429
-1.700,-45.907,229707.000,-1.432
-1.600,-46.631,228713.000,-1.427
-1.500,-48.690,228692.000,-1.424
-1.400,-0.198,228558.000,-1.424
-1.300,-15.149,229207.000,-1.431
-1.200,5.585,229342.000,-1.431
-1.100,17.330,229454.000,-1.433
-1.000,17.322,230031.000,-1.436
-0.900,17.325,229917.000,-1.433
-0.800,17.367,229792.000,-1.432
-0.700,17.319,229440.000,-1.429
-0.600,17.319,230119.000,-1.434
-0.500,17.313,229365.000,-1.430
-0.400,17.305,229672.000,-1.429
-0.300,17.320,229659.000,-1.431
-0.200,17.329,229627.000,-1.432
-0.100,17.403,229629.000,-1.431
0.000,17.291,229654.000,-1.432
0.100,17.313,229957.000,-1.435
0.200,17.293,229740.000,-1.434
0.300,-30.993,229783.000,-1.433
0.400,17.299,229691.000,-1.431
0.500,17.312,229707.000,-1.433
0.600,17.305,229807.000,-1.435
0.700,17.303,229910.000,-1.435
0.800,17.309,230024.000,-1.432
0.900,17.294,229592.000,-1.433
1.000,17.308,229374.000,-1.431
1.100,17.317,229316.000,-1.430
1.200,17.332,229341.000,-1.430
1.300,17.311,229252.000,-1.430
1.400,17.351,228983.000,-1.429
1.500,17.339,229431.000,-1.431
1.600,17.314,229499.000,-1.430
1.700,17.314,229400.000,-1.431
1.800,17.315,229447.000,-1.432
1.900,17.343,229385.000,-1.430
2.000,17.330,229699.000,-1.434
2.100,17.316,229495.000,-1.434
2.200,17.341,228682.000,-1.427
2.300,17.333,229095.000,-1.429
2.400,17.328,229027.000,-1.428
2.500,17.331,229081.000,-1.426
2.600,17.304,228874.000,-1.426
2.700,17.317,236222.000,-1.490
2.800,17.309,252038.000,-0.567
2.900,17.332,341763.000,5.182
3.000,17.338,223278.000,-1.392
#,#,#,#
