Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,32.373,4599.940,-0.052
-1.900,31.780,4599.820,-0.052
-1.800,31.104,4602.290,-0.053
-1.700,31.257,4600.260,-0.052
-1.600,31.248,4602.080,-0.053
-1.500,31.476,4601.710,-0.054
-1.400,31.580,4601.150,-0.053
-1.300,31.741,4603.310,-0.053
-1.200,32.309,4601.670,-0.052
-1.100,31.821,4600.420,-0.051
-1.000,31.700,4600.860,-0.052
-0.900,31.607,4602.500,-0.051
-0.800,31.615,4601.680,-0.053
-0.700,31.219,4601.400,-0.053
-0.600,31.423,4599.860,-0.053
-0.500,31.795,4599.870,-0.052
-0.400,31.774,4599.820,-0.052
-0.300,31.049,4600.770,-0.052
-0.200,31.203,4599.920,-0.051
-0.100,31.099,4598.600,-0.053
0.000,31.176,4598.990,-0.052
0.100,30.706,4596.380,-0.053
0.200,31.110,4598.780,-0.052
0.300,31.882,4599.150,-0.051
0.400,31.719,4597.940,-0.051
0.500,31.262,4596.040,-0.052
0.600,31.851,4599.170,-0.052
0.700,32.187,4601.360,-0.052
0.800,31.598,4601.500,-0.053
0.900,31.872,4600.250,-0.053
1.000,32.394,4600.840,-0.052
1.100,31.700,4601.060,-0.053
1.200,31.263,4600.380,-0.052
1.300,31.877,4600.950,-0.052
1.400,31.179,4601.270,-0.051
1.500,31.299,4600.030,-0.053
1.600,31.550,4598.270,-0.053
1.700,31.570,4599.180,-0.052
1.800,32.289,4598.770,-0.052
1.900,32.137,4601.640,-0.052
2.000,31.516,4601.580,-0.051
2.100,31.449,4599.700,-0.052
2.200,31.364,4601.820,-0.052
2.300,31.472,4601.540,-0.053
2.400,31.472,4599.600,-0.053
2.500,31.753,4601.680,-0.052
2.600,31.864,4602.100,-0.052
2.700,31.079,4601.190,-0.053
2.800,31.409,4600.610,-0.052
2.900,31.049,4599.960,-0.052
3.000,31.185,4600.800,-0.053
#,#,#,#
