Voltage (V),Capacitance (F),Impedance (O),Phase Angle (D)
-2.000,17.896,8890340.000,-88.180
-1.900,17.895,8887660.000,-88.179
-1.800,17.894,8889850.000,-88.177
-1.700,17.897,8889980.000,-88.184
-1.600,17.897,8891390.000,-88.179
-1.500,17.897,8891380.000,-88.171
-1.400,17.895,8892040.000,-88.184
-1.300,17.893,8891320.000,-88.181
-1.200,17.896,8890490.000,-88.181
-1.100,17.896,8889770.000,-88.182
-1.000,17.894,8891290.000,-88.186
-0.900,17.895,8891220.000,-88.178
-0.800,17.893,8891250.000,-88.181
-0.700,17.892,8891440.000,-88.192
-0.600,17.898,8890710.000,-88.177
-0.500,17.894,8888050.000,-88.187
-0.400,17.893,8891250.000,-88.194
-0.300,17.893,8889750.000,-88.189
-0.200,17.895,8889390.000,-88.177
-0.100,17.899,8891080.000,-88.171
0.000,17.894,8890400.000,-88.185
0.100,17.898,8889180.000,-88.182
0.200,17.896,8888060.000,-88.184
0.300,17.895,8889460.000,-88.192
0.400,17.890,8890290.000,-88.188
0.500,17.894,8889660.000,-88.179
0.600,17.899,8890130.000,-88.180
0.700,17.894,8889240.000,-88.176
0.800,17.892,8890630.000,-88.173
0.900,17.892,8891800.000,-88.179
1.000,17.894,8890460.000,-88.172
1.100,17.893,8891770.000,-88.172
1.200,17.893,8890860.000,-88.182
1.300,17.894,8891160.000,-88.169
1.400,17.894,8888580.000,-88.182
1.500,17.893,8892030.000,-88.186
1.600,17.896,8892370.000,-88.176
1.700,17.893,8890690.000,-88.183
1.800,17.890,8891270.000,-88.181
1.900,17.896,8889400.000,-88.173
2.000,17.893,8890460.000,-88.169
2.100,17.892,8891030.000,-88.189
2.200,17.890,8889890.000,-88.179
2.300,17.893,8889860.000,-88.184
2.400,17.894,8891430.000,-88.183
2.500,17.897,8890760.000,-88.169
2.600,17.896,8890570.000,-88.185
2.700,17.897,8891130.000,-88.180
2.800,17.899,8890040.000,-88.188
2.900,17.895,8891090.000,-88.177
3.000,17.895,8892450.000,-88.171
#,#,#,#
